id_hecho,n_victimas,fecha,franja_hora,tipo_calle,comuna,pos_x,pos_y,participantes,acusado,gravedad,rol,vehiculo_victima,sexo_victima,edad_victima
2018-0128,2,2018-11-25,4,gral paz,9.0,-58.52844623,-34.64592873,auto-pasajeros,pasajeros,fatal,pasajero,auto,masculino,49
2018-0128,2,2018-11-25,4,gral paz,9.0,-58.52844623,-34.64592873,auto-pasajeros,pasajeros,fatal,pasajero,auto,femenino,39
2018-0129,1,2018-11-28,4,avenida,15.0,-58.45021367,-34.58695347,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,37
2018-0130,1,2018-12-03,3,avenida,10.0,-58.49022072,-34.62770192,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,
2018-0131,1,2018-12-07,19,avenida,1.0,-58.36860866,-34.60106568,moto-cargas,cargas,fatal,conductor,moto,masculino,29
2018-0132,1,2018-12-12,8,autopista,2.0,-58.39490504,-34.57241534,peaton-cargas,cargas,fatal,peatón,peatón,masculino,70
2018-0133,1,2018-12-12,14,avenida,7.0,-58.46963952,-34.63070603,peaton-cargas,cargas,fatal,peatón,peatón,femenino,60
2018-0134,1,2018-12-12,21,avenida,7.0,-58.42349365,-34.64019887,peaton-moto,moto,fatal,peatón,peatón,masculino,56
2018-0135,1,2018-12-18,14,avenida,1.0,-58.37471802,-34.61265002,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,80
2018-0136,1,2018-12-18,15,avenida,7.0,-58.46438789,-34.62913916,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,70
2018-0137,1,2018-12-18,20,calle,1.0,-58.38481975,-34.61100424,moto-pasajeros,pasajeros,fatal,pasajero,moto,masculino,29
2018-0138,1,2018-12-21,9,calle,10.0,-58.50751833,-34.62073702,pasajeros-pasajeros,pasajeros,fatal,pasajero,pasajeros,femenino,79
2018-0139,1,2018-12-22,6,calle,7.0,-58.44682986,-34.63888084,moto-moto,moto,fatal,pasajero,moto,masculino,28
2018-0140,1,2018-12-22,8,calle,1.0,-58.3600465,-34.61381341,auto-auto,auto,fatal,conductor,auto,masculino,78
2018-0141,1,2018-12-22,17,avenida,5.0,-58.41509546,-34.62085945,peaton-moto,moto,fatal,peatón,peatón,masculino,75
2018-0142,1,2018-12-25,13,gral paz,12.0,-58.50997604,-34.57251072,cargas-pasajeros,pasajeros,fatal,pasajero,cargas,masculino,32
2018-0143,1,2018-12-29,5,avenida,10.0,-58.48606475,-34.64047818,moto-auto,auto,fatal,conductor,moto,masculino,22
2019-0001,1,2019-01-08,8,avenida,2.0,-58.38526125,-34.5780581,moto-cargas,cargas,fatal,conductor,moto,masculino,25
2019-0002,1,2019-01-09,4,avenida,7.0,-58.45463662,-34.65082149,auto-cargas,cargas,fatal,conductor,auto,masculino,32
2019-0003,1,2019-01-12,8,avenida,15.0,-58.49121672,-34.59718073,moto-auto,auto,fatal,conductor,moto,masculino,23
2019-0004,1,2019-01-14,19,avenida,9.0,-58.47325712,-34.65284605,auto-pasajeros,pasajeros,fatal,conductor,auto,masculino,71
2019-0005,1,2019-01-19,12,avenida,10.0,-58.52108101,-34.63382309,moto-cargas,cargas,fatal,conductor,moto,masculino,43
